Papel,Nome,YahooTicker
GEPA4,"DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA",GEPA4.SA
GETI3,AES TIETE SA,GETI3.SA
GETI4,AES TIETE SA,GETI4.SA
GETT3,GETNET BR,GETT3.SA
GETT4,GETNET BR,GETT4.SA
GFSA3,GAFISA,GFSA3.SA
GGBR3,GERDAU S.A.,GGBR3.SA
GGBR4,GERDAU S.A.,GGBR4.SA
GGPS3,GPS,GGPS3.SA
GLOB4,CASAS BAHIA,GLOB4.SA
GMAT3,GRUPO MATEUS,GMAT3.SA
GNDI3,INTERMEDICA,GNDI3.SA
GOAU3,METALÚRGICA GERDAU,GOAU3.SA
GOAU4,METALÚRGICA GERDAU,GOAU4.SA
GOLL4,GOL LINHAS AEREAS INTELIGENTES SA,GOLL4.SA
GPAR3,CELGPAR,GPAR3.SA
GPCP3,DEXXOS PAR,GPCP3.SA
GPIV33,"GP INVESTMENTS, LTD",GPIV33.SA
GRND3,GRENDENE SA,GRND3.SA
GRNL4,GRANÓLEO S/A,GRNL4.SA
GSHP3,Generalshopp,GSHP3.SA
GUAR3,GUARARAPES CONFECÇÕES,GUAR3.SA
GUAR4,GUARARAPES CONFECÇÕES,GUAR4.SA
GVTT3,GVT HOLDING,GVTT3.SA
HAGA3,HAGA,HAGA3.SA
HAGA4,HAGA,HAGA4.SA
HAPV3,HAPVIDA,HAPV3.SA
HBOR3,Helbor,HBOR3.SA
HBRE3,HBR REALTY,HBRE3.SA
HBSA3,HIDROVIAS,HBSA3.SA
HBTS5,CIA HABITASUL,HBTS5.SA
HETA3,HERCULES S/A,HETA3.SA
HETA4,HERCULES S/A,HETA4.SA
HGTX3,CIA HERING,HGTX3.SA
HGTX4,CIA HERING,HGTX4.SA
HOOT4,HOTEIS OTHON S.A.,HOOT4.SA
HRTP3,PETRORIO,HRTP3.SA
HYPE3,HYPERA,HYPE3.SA
ICPI3,CIMENTO ITAU CORUMBA,ICPI3.SA
IDNT3,PADTEC,IDNT3.SA
IDVL11,Indusval,IDVL11.SA
IDVL3,Indusval,IDVL3.SA
IDVL4,Indusval,IDVL4.SA
IENG3,INEPAR ENERGIA,IENG3.SA
IENG5,INEPAR ENERGIA,IENG5.SA
IFCM3,INFRACOMM,IFCM3.SA
IGBR3,GRADIENTE,IGBR3.SA
IGBR5,GRADIENTE,IGBR5.SA
IGBR6,GRADIENTE,IGBR6.SA
IGTA3,IGUATEMI,IGTA3.SA
IGTI11,IGUATEMI S.A,IGTI11.SA
IGTI3,IGUATEMI S.A,IGTI3.SA
IGUA3,CIA. IGUAÇU DE CAFÉ SOLÚVEL,IGUA3.SA
IGUA5,CIA. IGUAÇU DE CAFÉ SOLÚVEL,IGUA5.SA
IGUA6,CIA. IGUAÇU DE CAFÉ SOLÚVEL,IGUA6.SA
ILLS4,LINHAS CIRCULO,ILLS4.SA
ILMD3,YARA BRASIL FERTILIZANTES S.A.,ILMD3.SA
ILMD4,YARA BRASIL FERTILIZANTES S.A.,ILMD4.SA
IMBI3,COMPANHIA DOCAS DE IMBITUBA,IMBI3.SA
IMBI4,COMPANHIA DOCAS DE IMBITUBA,IMBI4.SA
IMCH3,IMC HOLDINGS,IMCH3.SA
INEP3,INEPAR S/A,INEP3.SA
INEP4,INEPAR S/A,INEP4.SA
INET3,FICTORALIMEN,INET3.SA
INHA3,GAFISA,INHA3.SA
INTB3,INTELBRAS,INTB3.SA
IRBR3,IRBBRASIL RE,IRBR3.SA
ISAE3,ISA ENERGIA,ISAE3.SA
ISAE4,ISA ENERGIA,ISAE4.SA
